NGI_ID	User_ID	RC	Mreads	>=Q30	Species_exp	Locality	Landskap	Sex_exp	Admixture_taxa	Locality_latitude	Locality_longitude	Sex_cov
P28119_101	1	PASSED	58.6	88.79	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_102	13	PASSED	64.66	89.01	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	F
P28119_105	49	PASSED	53.71	88.92	Artax	Penasa	Oland	F	Horkei	56.44383271878376	16.466978681232423	M
P28119_109	2	PASSED	50.39	88.95	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_110	14	PASSED	62.2	90.04	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	M
P28119_111	26	PASSED	80.5	89.4	Agestis	Heaby	Blekinge	M	Agestis	56.183511428080465	15.342528952484699	M
P28119_112	38	PASSED	53.39	88.82	Artax	Rismala	Smaland	NA	Agestis	56.769106881365516	15.86369803070122	M
P28119_113	50	PASSED	62.28	89.01	Agestis	Heaby	Blekinge	M	Agestis	56.183511428080465	15.342528952484699	M
P28119_117	3	PASSED	68.25	89.77	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_118	15	PASSED	61.93	89.39	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	F
P28119_119	27	PASSED	59.21	89.27	Artax	Jordtorpsasen	Oland	NA	Horkei	56.678858012891716	16.581355251407896	M
P28119_120	39	PASSED	59.23	89.4	Artax	Jordtorpsasen	Oland	M	Horkei	56.678858012891716	16.581355251407896	F
P28119_125	4	PASSED	51.8	89.48	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	F
P28119_126	16	PASSED	119.76	89.58	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	F
P28119_127	28	PASSED	65.74	88.9	Artax	Lenstad	Oland	NA	Horkei	56.61729506004453	16.552514012745018	M
P28119_128	40	PASSED	58.52	88.96	Artax	Jordtorpsasen	Oland	M	Horkei	56.678858012891716	16.581355251407896	M
P28119_133	5	PASSED	53.44	89.17	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	F
P28119_134	17	PASSED	55.83	89.59	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	F
P28119_135	29	PASSED	54.39	89.2	Artax	Penasa	Oland	NA	Horkei	56.44383271878376	16.466978681232423	M
P28119_136	41	PASSED	63.73	88.93	Agestis	Heaby	Blekinge	M	Agestis	56.183511428080465	15.342528952484699	M
P28119_141	6	PASSED	77.31	89.4	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	F
P28119_142	18	PASSED	66.98	89.08	Agestis	Tvedora	Skane	NA	Agestis	55.697467764964124	13.429896718848546	M
P28119_144	42	PASSED	53.13	89.34	Agestis	Tosteberga	Skane	M	Agestis	56.014352	14.458989	M
P28119_149	7	PASSED	52.3	89.28	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_150	19	PASSED	54.89	89	Agestis	Tvedora	Skane	NA	Agestis	55.697467764964124	13.429896718848546	M
P28119_151	31	PASSED	54.87	89.54	Artax	Penasa	Oland	M	Horkei	56.44383271878376	16.466978681232423	F
P28119_152	43	PASSED	52.7	89.19	Agestis	Tosteberga	Skane	M	Agestis	56.014352	14.458989	M
P28119_157	8	PASSED	54.04	89.18	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_158	20	PASSED	62.15	89.4	Agestis	Tvedora	Skane	NA	Agestis	55.697467764964124	13.429896718848546	M
P28119_159	32	PASSED	59.72	89.07	Artax	Penasa	Oland	NA	Horkei	56.44383271878376	16.466978681232423	M
P28119_160	44	PASSED	49.64	89.19	Agestis	Heaby	Blekinge	M	Agestis	56.183511428080465	15.342528952484699	M
P28119_165	9	PASSED	50.51	89.21	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_166	21	PASSED	51.75	88.92	Agestis	Tvedora	Skane	NA	Agestis	55.697467764964124	13.429896718848546	M
P28119_167	33	PASSED	55.34	89.38	Artax	Penasa	Oland	NA	Horkei	56.44383271878376	16.466978681232423	M
P28119_168	45	PASSED	47.52	89.29	Agestis	Tosteberga	Skane	NA	Agestis	56.014352	14.458989	M
P28119_173	10	PASSED	54.62	89.42	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_174	22	PASSED	63.17	89.65	Artax	Jordtorpsasen	Oland	F	Horkei	56.678858012891716	16.581355251407896	M
P28119_175	34	PASSED	62.13	88.67	Artax	Penasa	Oland	NA	Horkei	56.44383271878376	16.466978681232423	M
P28119_176	46	PASSED	49.69	88.85	Agestis	Tosteberga	Skane	F	Agestis	56.014352	14.458989	M
P28119_181	11	PASSED	48.32	89.48	Artax	KBH	Uppland	M	Artax	59.835963	17.586821	M
P28119_183	35	PASSED	55.47	88.7	Artax	Penasa	Oland	NA	Horkei	56.44383271878376	16.466978681232423	M
P28119_184	47	PASSED	44.72	89.15	Agestis	Heaby	Blekinge	F	Agestis	56.183511428080465	15.342528952484699	F
P28119_189	12	PASSED	52.81	89.42	Artax	KBH	Uppland	F	Artax	59.835963	17.586821	M
P28119_191	36	PASSED	48.03	89.39	Artax	Penasa	Oland	NA	Horkei	56.44383271878376	16.466978681232423	M
P28119_192	48	PASSED	88.93	89.22	Artax	Husgol	Blekinge	F	Blekingehorkei	56.42661724834159	15.584980941026021	F
